fund_name,charge_ongoing,management,fee
Invesco S&P MidCap 4000 GARP ETF,,0.35,
Invesco S&P MidCap 4000 Pure Value ETF,,0.35,
Invesco S&P MidCap Momentum ETF,,0.29,
Invesco S&P MidCap Quality ETF,,0.25,
Invesco S&P MidCap Value with Momentum ETF,,0.29,
Invesco S&P SmallCap 600 Revenue ETF,,0.39,
Invesco S&P SmallCap Momentum ETF,,0.29,
Invesco S&P SmallCap Value with Momentum ETF,,0.29,
Invesco S&P Spin-Off ETF,,0.50,
Invesco S&P Ultra Dividend Revenue ETF,,0.39,
Invesco Semiconductors ETF,,0.50,
Invesco Zacks Mid-Cap ETF,,0.50,
Invesco Zacks Multi-Asset Income ETF,,0.50,
iShares Core 80/20 Aggressive Allocation ETF,,0.15,
iShares Core Dividend Growth ETF,,0.08,
iShares Core MSCI Europe ETF,,0.09,
iShares Core MSCI International Developed Markets ETF,,0.04,
iShares Core S&P 500 ETF,,0.03,
iShares Core S&P Mid-Cap ETF,,0.05,
iShares Core S&P Total U.S. Stock Market ETF,,0.03,
iShares Currency Hedged MSCI ACWI ex U.S. ETF,,0.38,
iShares Currency Hedged MSCI EAFE Small-Cap ETF,,0.43,
iShares Currency Hedged MSCI Eurozone ETF,,0.62,
iShares Currency Hedged MSCI Japan ETF,,0.53,
"iShares Dow Jones U.S, ETF",,0.20,
iShares Edge MSCI Intl Value Factor ETF,,0.30,
iShares ESG MSCI KLD 400 ETF,,0.25,
iShares ESG Optimized MSCI USA ETF,,0.25,
iShares Europe ETF,,0.60,
iShares Expanded Tech Sector ETF,,0.48,
iShares Global 100 ETF,,0.40,
iShares Global Comm Services ETF,,0.48,
iShares Global Energy ETF,,0.48,
iShares Global Equity Factor ETF,,0.20,
iShares Global Financials ETF,,0.48,
iShares Global Industrials ETF,,0.48,
iShares Global Tech ETF,,0.48,
iShares International Equity Factor ETF,,0.15,
iShares Latin America 40 ETF,,0.50,
iShares Low Carbon Optimized MSCI ACWI ETF,,0.20,
iShares Morningstar Growth ETF,,0.04,
iShares Morningstar Mid-Cap ETF,,0.04,
iShares Morningstar Small-Cap Value ETF,,0.06,
iShares Morningstar U.S. Equity ETF,,0.03,
iShares Morningstar Value ETF,,0.04,
iShares MSCI EAFE ETF,,0.35,
iShares MSCI Emerging Markets Small-Cap ETF,,0.72,
iShares MSCI Intl Momentum Factor ETF,,0.30,
iShares MSCI Intl Quality Factor ETF,,0.30,
iShares MSCI Intl Small-Cap Multifactor ETF,,0.23,
iShares MSCI Kokusai ETF,,0.25,
iShares MSCI Taiwan ETF,,0.74,
iShares MSCI USA Equal Weighted ETF,,0.09,
iShares MSCI USA Size Factor ETF,,0.15,
iShares MSCI World ETF,,0.24,
iShares Russell 1000 ETF,,0.15,
iShares Russell 1000 Growth ETF,,0.20,
iShares Russell 1000 Value ETF,,0.20,
iShares Russell 2000 Value ETF,,0.24,
iShares Russell 3000 ETF,,0.20,
iShares Russell Mid-Cap ETF,,0.20,
iShares Russell Mid-Cap Value ETF,,0.25,
iShares Russell Top 200 ETF,,0.15,
iShares Russell Top 200 Growth ETF,,0.20,
iShares Russell Top 200 Value ETF,,0.20,
iShares S&P 100 ETF,,0.20,
iShares S&P 500 Growth ETF,,0.18,
iShares S&P 500 Value ETF,,0.18,
iShares S&P Mid-Cap 400 Value ETF,,0.18,
iShares S&P Small-Cap 600 Value ETF,,0.18,
iShares U.S_ Basic Materials ETF,,0.48,
